Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
MC Painting,http://www.mc-painting.com,,,Oceanside,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a11be469702d8aa1205d00?overrideScoreId=score,,130,painting+52,http://www.linkedin.com/company/mc-painting,,,,,
Stewart Richey Contracting Group,http://www.stewartrichey.com,,,Bowling Green,Kentucky,,,,,,apollo,"painting company, painting services - Kentucky",https://app.apollo.io/#/organizations/54a19b1e74686954753d2901?overrideScoreId=score,4.9M,120,concretepainting+66,http://www.linkedin.com/company/stewart-richey-construction-inc-,https://facebook.com/StewartRichey,https://twitter.com/StewartRichey,,,
Long Painting Company,http://www.longpainting.com,,,Kent,Washington,,,,,,apollo,"painting company, painting services - Washington",https://app.apollo.io/#/organizations/54a1206969702d8aa13d4102?overrideScoreId=score,4.4M,120,commercial painting+52,http://www.linkedin.com/company/long-painting-company,https://facebook.com/longpaintingcompany,https://twitter.com/LongPaintingCo,,,
A&K Painting Company,http://www.akpainting.com,,,Charlotte,North Carolina,,,,,,apollo,"painting company, painting services - North Carolina",https://app.apollo.io/#/organizations/54a11eb469702d77c29b9b01?overrideScoreId=score,4.1M,120,,http://www.linkedin.com/company/a&k-painting,https://facebook.com/pages/AK-Painting-Company/257140764912,https://twitter.com/AKPaint,,,
"Omni Glass & Paint, LLC",http://www.omnigp.com,,,Oshkosh,Wisconsin,,,,,,apollo,"painting company, painting services - Wisconsin",https://app.apollo.io/#/organizations/55f00f51f3e5bb0e5c003d20?overrideScoreId=score,1.3M,110,commercial glass+59,http://www.linkedin.com/company/omni-glass-&-paint-inc-,http://facebook.com/omnigp,https://twitter.com/omniglasspaint,,,
Fisher Tank Company,http://www.fishertank.com,,,Chester,Pennsylvania,,,,,,apollo,"painting company, painting services - Pennsylvania",https://app.apollo.io/#/organizations/54a1afab746869401293ff07?overrideScoreId=score,24.3M,110,api 650api 653+65,http://www.linkedin.com/company/fisher-tank-company,http://www.facebook.com/FisherTankCompany/,https://twitter.com/fishertankco/,,,
"Swanson & Youngdale, Inc.",http://www.swansonyoungdale.com,,,Swanson & Youngdale,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a19e137468694012a44002?overrideScoreId=score,11.6M,110,commercial painting+46,http://www.linkedin.com/company/swanson-&-youngdale-inc.,https://www.facebook.com/Swanson-Youngdale-Inc-249764911736118/,https://twitter.com/SY_SYINC,,,
"Graydaze Contracting, Inc.",http://www.graydaze.com,,,Graydaze Contracting,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a1297a69702db6481a9701?overrideScoreId=score,100M,110,painting+57,http://www.linkedin.com/company/graydaze,https://www.facebook.com/GraydazeContracting,,,,
Stancil Services,http://www.stancilservices.com,,,Concord,North Carolina,,,,,,apollo,"painting company, painting services - North Carolina",https://app.apollo.io/#/organizations/54a1281369702d8eeb913201?overrideScoreId=score,35.1M,110,inc 5000+50,http://www.linkedin.com/company/stancil-services,,,,,
Pro Painters,http://www.mypropainters.com,,,Houston,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/55ed8641f3e5bb227b0016f5?overrideScoreId=score,,96,interior painting+62,http://www.linkedin.com/company/pro-painters,https://www.facebook.com/mypropainters,,,,
Superior Contracting & Maintenance,http://www.superior-maintenance.com,,,Marietta,Georgia,,,,,,apollo,"painting company, painting services - Georgia",https://app.apollo.io/#/organizations/5da3c1da3e9e680001c76474?overrideScoreId=score,,88,plumbingelectrical+83,http://www.linkedin.com/company/superior-contracting-maintenance,,,,,
Matrix Construction Services,http://www.matrixsvc.com,,,El Paso,Texas,,,,,,apollo,"painting company, painting services - Texas",https://app.apollo.io/#/organizations/556d5d05736964126193f200?overrideScoreId=score,,86,,http://www.linkedin.com/company/matrix-construction-services,https://www.facebook.com/MatrixConstructionServicesMCS/,https://twitter.com/matrixsvctexas,,,
Precision Painting Plus,http://www.precisionpaintingplus.net,,,Westbury,New York,,,,,,apollo,"painting company, painting services - New York",https://app.apollo.io/#/organizations/559215e473696418f65a5c00?overrideScoreId=score,12.3M,85,painting interior+75,http://www.linkedin.com/company/precision-painting-plus,https://facebook.com/precisionpaintingplus/,https://twitter.com/precisionpp,,,
