Name,Website,Phone,Address,City,State,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue
Unity Painting Company,http://www.unitypaintingco.com,,,Richardson,Texas,,,,,apollo,"painting service, painting company - Texas",https://app.apollo.io/#/organizations/6749a12aea538400012415fc?overrideScoreId=score,
A&K Painting Company,http://www.akpainting.com,,,Charlotte,North Carolina,,,,,apollo,"painting service, painting company - North Carolina",https://app.apollo.io/#/organizations/54a11eb469702d77c29b9b01?overrideScoreId=score,4.1M
Arizona Painting Company,http://www.arizonapaintingcompany.com,,,Chandler,Arizona,,,,,apollo,"painting service, painting company - Arizona",https://app.apollo.io/#/organizations/55696f187369642529bb2b00?overrideScoreId=score,19.8M
CertaPro Painters,http://www.certapro.com,,,Norristown,Pennsylvania,,,,,apollo,"painting service, painting company - Pennsylvania",https://app.apollo.io/#/organizations/54a1281a69702db87870bb00?overrideScoreId=score,700M
Long Painting Company,http://www.longpainting.com,,,Kent,Washington,,,,,apollo,"painting service, painting company - Washington",https://app.apollo.io/#/organizations/54a1206969702d8aa13d4102?overrideScoreId=score,4.4M
Coyles Painting,http://www.coylespainting.com,,,Mesa,Arizona,,,,,apollo,"painting service, painting company - Arizona",https://app.apollo.io/#/organizations/5592306f736964191ec1bd00?overrideScoreId=score,
Fresh Coat Painters,http://www.freshcoatpainters.com,,,Cincinnati,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/5f7619fc0a4884008dd1d059?overrideScoreId=score,120.5M
Vivax Pros,http://www.vivaxpros.com,,,Denver,Colorado,,,,,apollo,"painting service, painting company - Colorado",https://app.apollo.io/#/organizations/5da448f510ef7e00014d4a1a?overrideScoreId=score,25M
Painter Bros,http://www.painterbros.com,,,American Fork,Utah,,,,,apollo,"painting service, painting company - Utah",https://app.apollo.io/#/organizations/60f648f7c0fda10001b16b6f?overrideScoreId=score,
Zack Painting Company,http://www.zackpainting.com,,,Woodbridge Township,New Jersey,,,,,apollo,"painting service, painting company - New Jersey",https://app.apollo.io/#/organizations/5500c3da73696460fc534900?overrideScoreId=score,10M
AG Williams Painting Company,http://www.agwilliamspainting.com,,,,,,,,,apollo,"painting service, painting company",https://app.apollo.io/#/organizations/54a26f6a74686930c279b422?overrideScoreId=score,30.6M
Imprūv Painting & Contracting,http://www.impruvpainting.com,,,Columbus,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/63d5725c4b6606000119cffe?overrideScoreId=score,
Penington Painting Company,http://www.teamppc.com,,,Chandler,Arizona,,,,,apollo,"painting service, painting company - Arizona",https://app.apollo.io/#/organizations/66e5e8f4d82df900011d66ba?overrideScoreId=score,13.1M
Meyer Painting Company,http://www.meyerpaintingco.com,,,Eureka,Missouri,,,,,apollo,"painting service, painting company - Missouri",https://app.apollo.io/#/organizations/5d09bd3df651259ad0d8fad5?overrideScoreId=score,
"A Step Above Painting, LLC.",http://www.asapsrq.com,,,Sarasota,Florida,,,,,apollo,"painting service, painting company - Florida",https://app.apollo.io/#/organizations/5ed33ab4a137530001916c83?overrideScoreId=score,
Epic Painting Company,http://www.epicpaintingco.com,,,Fairfax,Virginia,,,,,apollo,"painting service, painting company - Virginia",https://app.apollo.io/#/organizations/6638b731c948a3000163602b?overrideScoreId=score,
The Ohio Painting Company,http://www.ohiopainting.com,,,Miamisburg,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/56d522f0f3e5bb43e20013e2?overrideScoreId=score,
CertaPro Painters of Mountainside,,,,Mountainside,New Jersey,,,,,apollo,"painting service, painting company - New Jersey",https://app.apollo.io/#/organizations/63c6e0b9aafff100e550f040?overrideScoreId=score,500M
Kennewick Painting Company,http://www.kennewickpainting.com,,,Kennewick,Washington,,,,,apollo,"painting service, painting company - Washington",https://app.apollo.io/#/organizations/61ad51696629d0000157b61a?overrideScoreId=score,
Coeur d'Alene Painting Company,http://www.coeurdalenepainter.com,,,Coeur d'Alene,Idaho,,,,,apollo,"painting service, painting company - Idaho",https://app.apollo.io/#/organizations/6547d31911b8240001ee5c45?overrideScoreId=score,
Two Dudes Painting Company,http://www.twodudes.com,,,Lancaster,Pennsylvania,,,,,apollo,"painting service, painting company - Pennsylvania",https://app.apollo.io/#/organizations/54a1392669702de5b3a11500?overrideScoreId=score,42.3M
Atlanta Painting Company,http://www.atlantapaintingcompany.com,,,Roswell,Georgia,,,,,apollo,"painting service, painting company - Georgia",https://app.apollo.io/#/organizations/54a1a396746869586099fb03?overrideScoreId=score,221K
Fargo Painting Company,http://www.fargopaintingpros.com,,,Fargo,North Dakota,,,,,apollo,"painting service, painting company - North Dakota",https://app.apollo.io/#/organizations/61ad4ea75370c80001e34fb6?overrideScoreId=score,
Denver Painting Service Company,http://www.denverpaintingservicecompany.com,,,Denver,Colorado,,,,,apollo,"painting service, painting company - Colorado",https://app.apollo.io/#/organizations/64b25e4c41dc870001ac33b6?overrideScoreId=score,
Pasco Painting Company,http://www.pascopaintingcompany.com,,,Pasco,Washington,,,,,apollo,"painting service, painting company - Washington",https://app.apollo.io/#/organizations/64604fcef221c900011b82f8?overrideScoreId=score,
Valley Painting Company,http://www.chagrinvalleypainting.com,,,Chagrin Falls,Ohio,,,,,apollo,"painting service, painting company - Ohio",https://app.apollo.io/#/organizations/54a1295d69702dc8410c4c01?overrideScoreId=score,
