Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Valley Painting Company,http://www.chagrinvalleypainting.com,,,Chagrin Falls,Ohio,,,,,,apollo,"painting company, painting service - Ohio",https://app.apollo.io/#/organizations/54a1295d69702dc8410c4c01?overrideScoreId=score,,,,http://www.linkedin.com/company/valley-painting-company,,https://twitter.com/valleypainting,,,
LIME Painting,http://www.limepainting.com,,,Greenwood Village,Colorado,,,,,,apollo,"painting company, painting service - Colorado",https://app.apollo.io/#/organizations/5ed1e7983b3bf900017b9fe2?overrideScoreId=score,,,,http://www.linkedin.com/company/limepainting,https://facebook.com/getlimed,https://twitter.com/lime_painting,,,
Pound Ridge Painting Company,http://www.poundridgepainting.com,,,Pound Ridge,New York,,,,,,apollo,"painting company, painting service - New York",https://app.apollo.io/#/organizations/5fcaf532e342470001a49f5c?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/pound-ridge-painting-company,https://www.facebook.com/poundridgepaintingco,https://twitter.com/poundridgeptco,,,
Affinity Painting Company Inc.,http://www.affinity-painting.com,,,Covina,California,,,,,,apollo,"painting company, painting service - California",https://app.apollo.io/#/organizations/5da7015581f1650001b1c11f?overrideScoreId=score,2.2M,,commercial+78,http://www.linkedin.com/company/affinity-painting-company-inc.,https://facebook.com/affinitypainting,https://twitter.com/AffinityPaints,,,
Rapid City Painting Company,http://www.rapidcitypaintingpros.com,,,Rapid City,South Dakota,,,,,,apollo,"painting company, painting service - South Dakota",https://app.apollo.io/#/organizations/6550f7c05e86d700010cc48f?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/rapid-city-painting-company,,,,,
Bozeman Painting Company,http://www.bozemanhousepainter.com,,,Bozeman,Montana,,,,,,apollo,"painting company, painting service - Montana",https://app.apollo.io/#/organizations/667950b3ee458f0001dbeb7e?overrideScoreId=score,,,residential & commercial painting company,http://www.linkedin.com/company/bozeman-painting-company,https://www.facebook.com/Bozeman-Painting-Company-108652878217496,,,,
Metro-Multi Construction & Remodeling,http://www.metromulticonstruction.com,,,Troy,Michigan,,,,,,apollo,"painting company, painting service - Michigan",https://app.apollo.io/#/organizations/65b93cfe5efc3601c6b06c29?overrideScoreId=score,,,construction+61,http://www.linkedin.com/company/metro-multi-construction-remodeling,,,,,
Missoula Painting Company,http://www.missoulahousepainter.com,,,Missoula,Montana,,,,,,apollo,"painting company, painting service - Montana",https://app.apollo.io/#/organizations/666e9c2c468c780001b84fd9?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/missoula-painting-company,https://www.facebook.com/MissoulaPaintingCompanyy/,,,,
Painting Services By Steve,http://www.paintingservicesbysteve.com,,,Katy,Texas,,,,,,apollo,"painting company, painting service - Texas",https://app.apollo.io/#/organizations/54a13b1569702de5b3a14601?overrideScoreId=score,1.8M,,painting company+13,http://www.linkedin.com/company/painting-services-by-steve,https://facebook.com/PaintingServicesBySteve,https://twitter.com/PaintingbySteve,,,
Ogden Painting Company,http://www.ogdenpaintingpros.com,,,Ogden,Utah,,,,,,apollo,"painting company, painting service - Utah",https://app.apollo.io/#/organizations/66f659bcbdb34f0001951a7f?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/ogden-painting-company,,,,,
Elk Horn Painting,http://www.elkhornpainting.com,,,Castle Rock,Colorado,,,,,,apollo,"painting company, painting service - Colorado",https://app.apollo.io/#/organizations/5e5696bb34bf3400011688b2?overrideScoreId=score,,,painting+58,http://www.linkedin.com/company/elk-horn-painting,https://www.facebook.com/Elk-Horn-Painting-LLC-523380701184142/,,,,
E. Caligari & Son,http://www.ecaligariandson.com,,,Norfolk,Virginia,,,,,,apollo,"painting company, painting service - Virginia",https://app.apollo.io/#/organizations/5d32b11af65125072c9d5f01?overrideScoreId=score,18M,,,http://www.linkedin.com/company/e-caligari-son-inc,,,,,
Burge Painting Company,http://www.burgepainting.com,,,Lansdale,Pennsylvania,,,,,,apollo,"painting company, painting service - Pennsylvania",https://app.apollo.io/#/organizations/5b84c3ddf874f74a1abe68ea?overrideScoreId=score,,,commercial painting+30,http://www.linkedin.com/company/burge-painting-company,https://facebook.com/burgepainting,,,,
The Painting Company,http://www.thepaintingcompany.com,,,Plain City,Ohio,,,,,,apollo,"painting company, painting service - Ohio",https://app.apollo.io/#/organizations/5e57a7c30c206a00016cdc51?overrideScoreId=score,,,commercial painting+63,http://www.linkedin.com/company/thepaintingcompany,https://facebook.com/ThePaintingCompany.Asman/,,,,
The Painting Company,http://www.gopaintingcompany.com,,,Bellevue,Nebraska,,,,,,apollo,"painting company, painting service - Nebraska",https://app.apollo.io/#/organizations/5e56b2f652e7ad0001f55c3b?overrideScoreId=score,,,surface repair+103,http://www.linkedin.com/company/the-painting-company-omaha,https://www.facebook.com/gopaintingcompany,https://twitter.com/gopaintingco,,,
Dutch Hill Painting Company,http://www.dutchhillpainting.com,,,Bloomsburg,Pennsylvania,,,,,,apollo,"painting company, painting service - Pennsylvania",https://app.apollo.io/#/organizations/61ec2fe5ad92600001819899?overrideScoreId=score,,,residential painting+55,http://www.linkedin.com/company/dutch-hill-painting-company,,,,,
PPD Painting,http://www.ppdpainting.com,,,Bellwood,Illinois,,,,,,apollo,"painting company, painting service - Illinois",https://app.apollo.io/#/organizations/54a1b93d7468694f8fbf6e0b?overrideScoreId=score,2.6M,,,http://www.linkedin.com/company/precision-painting-&-decorating-llc-,https://www.facebook.com/PrecisionPaintingDecorating,https://twitter.com/PPDPainting1,,,
Smile-A-Mile Painting,http://www.smileamilepainting.com,,,Kennewick,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/5e57a7be7e83710001e0f38c?overrideScoreId=score,,,paintinginterior+68,http://www.linkedin.com/company/smile-a-mile-painting,https://facebook.com/pages/Smile-A-Mile-Painting/214270765288169,,,,
"Impressions Painting Company, Inc.",http://www.impressionspaintingcompany.com,,,Impressions Painting Company,Inc.,,,,,,apollo,"painting company, painting service - Inc.",https://app.apollo.io/#/organizations/54a1391269702de5b37e0b00?overrideScoreId=score,,,interior painting+5,http://www.linkedin.com/company/impressions-painting-company-inc.,,,,,
Pro Painter USA,http://www.propainterusa.com,,,Milwaukee,Wisconsin,,,,,,apollo,"painting company, painting service - Wisconsin",https://app.apollo.io/#/organizations/650a98293ff3c200bc736772?overrideScoreId=score,,,,http://www.linkedin.com/company/pro-painter-usa,https://www.facebook.com/propaintermke,,,,
Richland Painting Company,http://www.richlandpainting.com,,,Richland,Washington,,,,,,apollo,"painting company, painting service - Washington",https://app.apollo.io/#/organizations/66e91c07752645000180a407?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/richland-painting-company,,,,,
York Services LLC (Painting Contractor),http://www.naplesfloridapainters.com,,,Fort Myers,Florida,,,,,,apollo,"painting company, painting service - Florida",https://app.apollo.io/#/organizations/54a13adc69702dac84991b01?overrideScoreId=score,,,,http://www.linkedin.com/company/york-services-llc,,,,,
Medford Painting Company,http://www.medfordpaintingpros.com,,,Medford,Oregon,,,,,,apollo,"painting company, painting service - Oregon",https://app.apollo.io/#/organizations/674aceea37cb7e00018739c3?overrideScoreId=score,,,painting company,http://www.linkedin.com/company/medford-painting-company,,,,,
