Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
Alaska Painting Services,http://www.alaskapaintingonline.com,,,Anchorage,Alaska,,,,,,apollo,"painting services, painting company - Alaska",https://app.apollo.io/#/organizations/57c4f10fa6da986a87fbf581?overrideScoreId=score,,5,home servicespainters,http://www.linkedin.com/company/alaska-painting-services,https://www.facebook.com/miamipaintingcontractors,https://twitter.com/alaskapainting,,,
MKD's Property Solutions and Installations,http://www.mkdspropertysolutions.com,,,Anchorage,Alaska,,,,,,apollo,"painting services, painting company - Alaska",https://app.apollo.io/#/organizations/642074e8abdc0200015ddd85?overrideScoreId=score,,4,deck repair+35,http://www.linkedin.com/company/mkd-s-property-solutions-llc,,,,,
Patronas Home Repair LLC,http://www.patronashomerepair.com,,,Anchorage,Alaska,,,,,,apollo,"painting services, painting company - Alaska",https://app.apollo.io/#/organizations/6100ed658b43e2000183b555?overrideScoreId=score,,2,home maintenance+50,http://www.linkedin.com/company/patronas-home-repair,,,,,
Paint Kings,http://www.paintkings.com,,,Tucson,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/54a1b6c07468694f8f0c810a?overrideScoreId=score,18.9M,38,painting contractor+45,http://www.linkedin.com/company/paint-kings,https://facebook.com/pages/The-Paint-Kings-Inc/233721226781289,https://twitter.com/paintkings,,,
Roadrunner Drywall & Paint Corp,http://www.roadrunnerdrywall.com,,,Scottsdale,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/54a1ba1d74686942d3149c0b?overrideScoreId=score,,35,customer service+88,http://www.linkedin.com/company/roadrunner-drywall-corp,,,,,
Nkw Inc,http://www.nkwinc.com,,,Mesa,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/55f936a5f3e5bb6b20003df5?overrideScoreId=score,,34,,http://www.linkedin.com/company/nkw-inc,,,,,
"Extreme Drywall Concepts, LLC",http://www.extremedrywallconcepts.com,,,Phoenix,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/5da53c2e91250a0001da6a0d?overrideScoreId=score,,32,metal stud framing+57,http://www.linkedin.com/company/extremedrywallconcepts,https://www.facebook.com/extremedrywallconcepts,,,,
"Design Drywall West, Inc.",http://www.designdrywallwest.com,,,Design Drywall West,Inc.,,,,,,apollo,"painting services, painting company - Inc.",https://app.apollo.io/#/organizations/5d095460f65125d6974a0101?overrideScoreId=score,17.5M,24,construction+40,http://www.linkedin.com/company/design-drywall-west-inc,https://www.facebook.com/designdrywallwest,,,,
"JOHANSEN INTERIORS, LLC",http://www.johanseninteriors.net,,,Chandler,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/5b14a9b5a6da98712ec048a6?overrideScoreId=score,,24,retail construction+91,http://www.linkedin.com/company/johansen-interiors-llc,https://www.facebook.com/Johanseninteriors/,,,,
"Indigo Contracting, LLC dba Indigo Paint & Contracting",http://www.indigocontracting.com,,,Phoenix,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/5569ee6d736964255da0b300?overrideScoreId=score,30.2M,23,repaintingretail+64,http://www.linkedin.com/company/indigo-paint-&-contracting,https://facebook.com/IndigoContracting,,,,
LUXOR PAINTING INC.,http://www.luxorpaintinginc.com,,,Tempe,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/54fca42b7369647e12331d00?overrideScoreId=score,197K,19,house painting+69,http://www.linkedin.com/company/luxor-painting-inc-,https://www.facebook.com/LuxorPaintingInc,https://twitter.com/painting_luxor,,,
Coyles Painting,http://www.coylespainting.com,,,Mesa,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/5592306f736964191ec1bd00?overrideScoreId=score,,18,,http://www.linkedin.com/company/coyles-painting,,,,,
"CDS Framing, Inc.",http://www.cdsframing.com,,,CDS Framing,Inc.,,,,,,apollo,"painting services, painting company - Inc.",https://app.apollo.io/#/organizations/54a12a4b69702db6487cfb01?overrideScoreId=score,9.5M,18,drywall+54,http://www.linkedin.com/company/cds-framing-inc.,,,,,
Apodaca Wall Systems,http://www.apodacainc.com,,,Phoenix,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/650163c1cc44590001edeada?overrideScoreId=score,4.7M,17,stuccopaint+52,http://www.linkedin.com/company/apodaca-wall-systems,https://facebook.com/stampedpassportphotography,https://twitter.com/StampedPassport,,,
Evolution Construction Services,,,,Phoenix,Arizona,,,,,,apollo,"painting services, painting company - Arizona",https://app.apollo.io/#/organizations/624f0905b46ac300a59b9b6a?overrideScoreId=score,,17,property maintenance+23,http://www.linkedin.com/company/evolutionarizona,,,,,
