Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
MC Painting,http://www.mc-painting.com,,,Oceanside,California,,,,,,apollo,"Painting services, painting company - California",https://app.apollo.io/#/organizations/54a11be469702d8aa1205d00?overrideScoreId=score,,,painting+52,http://www.linkedin.com/company/mc-painting,,,,,
Stewart Richey Contracting Group,http://www.stewartrichey.com,,,Bowling Green,Kentucky,,,,,,apollo,"Painting services, painting company - Kentucky",https://app.apollo.io/#/organizations/54a19b1e74686954753d2901?overrideScoreId=score,4.9M,,concretepainting+66,http://www.linkedin.com/company/stewart-richey-construction-inc-,https://facebook.com/StewartRichey,https://twitter.com/StewartRichey,,,
Long Painting Company,http://www.longpainting.com,,,Kent,Washington,,,,,,apollo,"Painting services, painting company - Washington",https://app.apollo.io/#/organizations/54a1206969702d8aa13d4102?overrideScoreId=score,4.4M,,tank linings+57,http://www.linkedin.com/company/long-painting-company,https://facebook.com/longpaintingcompany,https://twitter.com/LongPaintingCo,,,
A&K Painting Company,http://www.akpainting.com,,,Charlotte,North Carolina,,,,,,apollo,"Painting services, painting company - North Carolina",https://app.apollo.io/#/organizations/54a11eb469702d77c29b9b01?overrideScoreId=score,4.1M,,,http://www.linkedin.com/company/a&k-painting,https://facebook.com/pages/AK-Painting-Company/257140764912,https://twitter.com/AKPaint,,,
"CENTURY DRYWALL, INC.",http://www.centurydrywallinc.com,,,Lincoln,Rhode Island,,,,,,apollo,"Painting services, painting company - Rhode Island",https://app.apollo.io/#/organizations/6656e22b48b4440001a0755d?overrideScoreId=score,80M,,,http://www.linkedin.com/company/century-drywall-inc.,,,,,
"Omni Glass & Paint, LLC",http://www.omnigp.com,,,Oshkosh,Wisconsin,,,,,,apollo,"Painting services, painting company - Wisconsin",https://app.apollo.io/#/organizations/55f00f51f3e5bb0e5c003d20?overrideScoreId=score,1.3M,,commercial glass+59,http://www.linkedin.com/company/omni-glass-&-paint-inc-,http://facebook.com/omnigp,https://twitter.com/omniglasspaint,,,
Fisher Tank Company,http://www.fishertank.com,,,Chester,Pennsylvania,,,,,,apollo,"Painting services, painting company - Pennsylvania",https://app.apollo.io/#/organizations/54a1afab746869401293ff07?overrideScoreId=score,24.3M,,api 650api 653+65,http://www.linkedin.com/company/fisher-tank-company,http://www.facebook.com/FisherTankCompany/,https://twitter.com/fishertankco/,,,
"Swanson & Youngdale, Inc.",http://www.swansonyoungdale.com,,,Swanson & Youngdale,Inc.,,,,,,apollo,"Painting services, painting company - Inc.",https://app.apollo.io/#/organizations/54a19e137468694012a44002?overrideScoreId=score,11.6M,,commercial painting+46,http://www.linkedin.com/company/swanson-&-youngdale-inc.,https://www.facebook.com/Swanson-Youngdale-Inc-249764911736118/,https://twitter.com/SY_SYINC,,,
"Graydaze Contracting, Inc.",http://www.graydaze.com,,,Graydaze Contracting,Inc.,,,,,,apollo,"Painting services, painting company - Inc.",https://app.apollo.io/#/organizations/54a1297a69702db6481a9701?overrideScoreId=score,100M,,painting+57,http://www.linkedin.com/company/graydaze,https://www.facebook.com/GraydazeContracting,,,,
Stancil Services,http://www.stancilservices.com,,,Concord,North Carolina,,,,,,apollo,"Painting services, painting company - North Carolina",https://app.apollo.io/#/organizations/54a1281369702d8eeb913201?overrideScoreId=score,35.1M,,inc 5000+46,http://www.linkedin.com/company/stancil-services,,,,,
