Name,Website,Phone,Address,City,State,PostalCode,Rating,Reviews,Categories,Email,Source,Query,Apollo,Revenue,Employees,Keywords,LinkedIn,Facebook,Twitter,Hours,Description,SocialProfiles
All-IN Painting,http://www.goallinpainting.com,,,Greenwood,Indiana,,,,,,apollo,"painting company, painting services - Indiana",https://app.apollo.io/#/organizations/5b14495ba6da98dcc677772c?overrideScoreId=score,,34,painting+64,http://www.linkedin.com/company/goallinpainting,https://www.facebook.com/goallinpainting/,,,,
Nkw Inc,http://www.nkwinc.com,,,Mesa,Arizona,,,,,,apollo,"painting company, painting services - Arizona",https://app.apollo.io/#/organizations/55f936a5f3e5bb6b20003df5?overrideScoreId=score,,34,,http://www.linkedin.com/company/nkw-inc,,,,,
Hester Painting & Decorating,http://www.hesterdecorating.com,,,Skokie,Illinois,,,,,,apollo,"painting company, painting services - Illinois",https://app.apollo.io/#/organizations/54a1f6f47468693318e04201?overrideScoreId=score,,34,residential painting+46,http://www.linkedin.com/company/hester-painting-&-decorating,https://facebook.com/hesterpainting,,,,
"Krause Konstruction Company, Inc.",http://www.krausekonstruction.com,,,Krause Konstruction Company,Inc.,,,,,,apollo,"painting company, painting services - Inc.",https://app.apollo.io/#/organizations/54a1be1c7468694012382d0d?overrideScoreId=score,,34,steeple work+55,http://www.linkedin.com/company/krause-konstruction-company-inc-,https://www.facebook.com/KrauseKonstruction,https://twitter.com/Krauseko,,,
Martin Painting & Coating Co.,http://www.martinpainting.com,,,Grove City,Ohio,,,,,,apollo,"painting company, painting services - Ohio",https://app.apollo.io/#/organizations/54a1357469702d317044ee00?overrideScoreId=score,,34,commercial painting+71,http://www.linkedin.com/company/martin-painting-&-coating-co-,http://www.facebook.com/MartinPaintingCoatingCo,,,,
Pro-Tech Painting,http://www.pro-techpainting.com,,,San Diego,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/54a11c5369702d8ccce59700?overrideScoreId=score,,34,interior+63,http://www.linkedin.com/company/pro-tech-painting,https://www.facebook.com/protechpaintcompany/,https://twitter.com/protechpaintco,,,
Richard's Painting,http://www.richardspainting.net,,,Salisbury,North Carolina,,,,,,apollo,"painting company, painting services - North Carolina",https://app.apollo.io/#/organizations/604aa0cfb129630001d742ad?overrideScoreId=score,,33,painting & franchising+29,http://www.linkedin.com/company/richard-s-painting-co-llc,https://www.facebook.com/RichardsPaintingSalisbury/,https://twitter.com/Richpaintingco,,,
LIME Painting,http://www.limepainting.com,,,Greenwood Village,Colorado,,,,,,apollo,"painting company, painting services - Colorado",https://app.apollo.io/#/organizations/5ed1e7983b3bf900017b9fe2?overrideScoreId=score,,33,,http://www.linkedin.com/company/limepainting,https://facebook.com/getlimed,https://twitter.com/lime_painting,,,
Trademark Contractors L.L.C,http://www.trademark-contractors.com,,,Buford,Georgia,,,,,,apollo,"painting company, painting services - Georgia",https://app.apollo.io/#/organizations/5da6c3fb9cc52f0001ceb665?overrideScoreId=score,,33,commercial+65,http://www.linkedin.com/company/trademark-contractors-l.l.c,https://facebook.com/trademarkcontractors,https://twitter.com/tmcontractor,,,
MC Contracting,http://www.mc-contracting.com,,,Oceanside,California,,,,,,apollo,"painting company, painting services - California",https://app.apollo.io/#/organizations/5b84c54d324d44716a2001c4?overrideScoreId=score,,33,,http://www.linkedin.com/company/mc-contracting,,,,,
